0.0,20.2,16.0,36.9,51.4,10.0,24.6,61.0,48.8,35.4,36.0,46.3,37.6,61.9,65.8,53.8,58.3,22.4,53.1,59.2,29.4,36.1,13.2,45.2,42.4,28.2,18.9,29.1,25.3,42.6,40.2,21.8,11.2,7.2,43.0,52.8,30.9,36.2,48.3,30.0,52.8,36.8,45.0,36.4,56.8,31.6,43.6,18.6,15.6,24.8,36.1
20.2,0.0,23.0,28.0,35.0,22.1,8.2,41.2,34.4,35.3,39.1,26.1,19.8,43.9,48.9,36.9,39.1,29.7,33.0,39.1,9.2,16.8,8.6,26.9,28.2,8.0,8.1,19.0,27.2,24.2,20.6,9.1,19.8,14.0,26.6,34.2,13.9,16.0,34.0,19.0,32.6,23.1,25.2,19.8,38.9,28.8,32.6,15.0,16.6,22.4,25.1
16.0,23.0,0.0,24.2,42.7,6.3,21.6,57.1,38.5,19.4,20.1,46.3,32.1,54.4,71.9,59.9,61.1,38.1,53.6,57.1,30.1,39.4,21.6,39.3,32.7,30.0,16.2,19.0,9.5,47.0,37.1,29.7,26.3,13.0,35.2,46.7,26.0,37.0,56.6,39.8,51.5,27.5,46.8,42.8,61.8,16.6,31.4,10.0,28.8,38.1,46.2
36.9,28.0,24.2,0.0,21.0,29.7,20.1,39.8,15.3,15.5,21.6,36.8,18.4,33.0,67.6,57.1,53.0,55.4,43.3,42.5,27.5,36.7,33.7,22.4,11.2,29.1,21.4,9.1,17.1,43.9,25.5,37.0,43.7,30.4,16.2,27.9,17.5,31.4,57.8,46.4,38.8,9.2,39.8,43.7,57.0,10.0,7.2,18.4,43.0,50.2,52.0
51.4,35.0,42.7,21.0,0.0,47.0,27.6,20.8,6.7,36.2,42.3,26.5,15.3,12.0,57.0,49.0,40.7,64.6,30.5,25.5,28.6,33.4,43.3,10.0,10.2,30.9,32.6,23.8,37.5,38.0,18.2,42.1,54.6,44.2,8.5,9.2,21.3,27.5,53.0,48.4,24.6,15.2,31.3,41.4,47.1,31.0,15.5,34.0,51.6,55.9,52.2
10.0,22.1,6.3,29.7,47.0,0.0,23.0,59.7,43.3,25.7,26.0,47.3,34.9,58.3,70.7,58.6,61.1,32.4,54.5,59.0,30.4,38.9,18.4,42.4,37.2,29.8,17.0,23.3,15.8,46.2,39.1,27.2,20.9,9.2,39.0,50.0,28.4,37.5,54.4,36.8,53.0,31.8,47.1,41.2,60.9,22.8,36.8,13.0,24.2,33.6,43.1
24.6,8.2,21.6,20.1,27.6,23.0,0.0,36.9,26.4,29.4,34.0,24.7,13.0,37.4,51.9,40.3,39.8,37.6,32.0,36.0,9.2,19.1,15.8,20.6,20.1,10.0,6.1,11.4,22.8,26.9,16.1,17.0,27.0,17.5,19.1,28.2,6.4,15.7,39.1,26.3,30.1,14.9,25.5,24.7,41.4,22.5,24.3,11.7,24.6,30.6,32.0
61.0,41.2,57.1,39.8,20.8,59.7,36.9,0.0,27.5,55.4,61.4,18.4,25.0,13.9,41.2,36.7,25.0,67.8,16.8,7.0,32.2,30.4,49.7,18.1,28.8,34.0,43.0,39.1,54.3,30.5,20.9,44.7,60.4,54.1,23.8,12.1,31.3,26.6,43.7,46.7,11.7,31.6,23.0,37.0,33.1,49.2,35.8,47.2,55.8,56.6,48.0
48.8,34.4,38.5,15.3,6.7,43.3,26.4,27.5,0.0,30.0,36.1,31.0,16.1,18.1,62.2,53.5,46.1,64.0,35.8,31.8,29.6,36.0,42.2,13.9,6.4,31.8,30.6,20.0,32.3,41.6,21.2,42.4,53.3,41.7,9.0,15.6,20.6,30.0,56.6,49.8,30.2,12.0,35.4,44.0,52.0,25.3,9.1,30.6,51.0,56.3,54.2
35.4,35.3,19.4,15.5,36.2,25.7,29.4,55.4,30.0,0.0,6.1,50.8,32.8,48.1,80.6,69.4,67.0,57.0,57.7,57.8,38.4,48.3,37.9,37.7,26.7,39.4,27.3,19.1,10.0,56.0,39.7,44.0,45.0,31.0,31.6,43.4,29.7,43.8,68.5,54.2,53.7,24.2,53.2,54.1,70.0,7.1,21.0,20.9,46.4,55.1,60.4
